Wall time,Step,Value
1642478562.774629,0,335.32061767578125
1642478563.666795,1,318.6947937011719
1642478564.531418,2,200.37005615234375
1642478565.392643,3,245.18814086914062
1642478566.295161,4,229.14541625976562
1642478567.151567,5,259.4532470703125
1642478568.042092,6,255.1943359375
1642478568.89522,7,326.1979675292969
1642478569.771367,8,300.9901123046875
1642478570.661361,9,249.78086853027344
1642478571.55793,10,299.58575439453125
1642478572.42485,11,369.81158447265625
1642478573.309101,12,255.745849609375
1642478574.170529,13,257.9114074707031
1642478575.05327,14,308.7084045410156
1642478575.990903,15,295.15716552734375
1642478576.834414,16,284.2394104003906
1642478577.702945,17,304.3333740234375
1642478578.511958,18,347.8985595703125
1642478579.398761,19,235.94723510742188
1642478580.266791,20,276.1578369140625
1642478581.150031,21,269.8027038574219
1642478581.991448,22,246.54531860351562
1642478582.91125,23,327.1303405761719
1642478583.783226,24,336.12738037109375
1642478584.651354,25,294.0148010253906
1642478585.489635,26,300.70306396484375
1642478586.380285,27,303.5599365234375
1642478587.239056,28,235.1997528076172
1642478588.077749,29,258.13006591796875
1642478588.959538,30,205.5487060546875
1642478589.826823,31,277.7714538574219
1642478590.669758,32,289.3282165527344
1642478591.50969,33,316.78741455078125
1642478592.34184,34,332.53277587890625
1642478593.234353,35,229.2101287841797
1642478594.079174,36,291.6775817871094
1642478594.95154,37,313.7066955566406
1642478595.860782,38,273.3810119628906
1642478596.731488,39,277.7563781738281
1642478597.548732,40,260.8707580566406
1642478598.427094,41,329.2585144042969
1642478599.319537,42,271.3442077636719
1642478600.128974,43,282.273193359375
1642478601.003847,44,307.8130187988281
1642478601.907044,45,238.4765625
1642478602.796569,46,304.7678527832031
1642478603.673268,47,344.6270751953125
1642478604.560253,48,263.0331115722656
1642478605.385894,49,319.1353454589844
1642478612.304863,50,248.3208770751953
1642478619.094514,51,328.5335998535156
1642478625.871573,52,302.4730224609375
1642478632.790597,53,293.2023620605469
1642478639.648316,54,306.8913879394531
1642478646.460068,55,263.3596496582031
1642478653.109422,56,287.3219299316406
1642478659.746697,57,294.5210876464844
1642478666.347377,58,245.2910919189453
1642478672.973133,59,193.5714111328125
1642478679.560293,60,194.95065307617188
1642478686.204744,61,186.19976806640625
1642478692.841444,62,271.9737243652344
1642478699.639021,63,180.0608673095703
1642478706.452932,64,215.7021026611328
1642478713.223714,65,195.92938232421875
1642478719.787029,66,182.10472106933594
1642478726.336845,67,185.74696350097656
1642478732.884502,68,189.08111572265625
1642478739.488794,69,170.70001220703125
1642478746.35204,70,157.5991668701172
1642478753.187636,71,171.20558166503906
1642478760.068812,72,234.388671875
1642478766.949429,73,163.8382110595703
1642478773.60155,74,223.28016662597656
1642478780.47649,75,164.1134490966797
1642478787.350223,76,127.58895111083984
1642478794.130547,77,107.91191864013672
1642478801.013162,78,138.3101806640625
1642478807.952726,79,145.36875915527344
1642478814.686004,80,141.63003540039062
1642478821.444146,81,151.39515686035156
1642478828.067211,82,150.7896270751953
1642478834.839309,83,121.15579986572266
1642478841.524613,84,154.380615234375
1642478848.260235,85,122.0419692993164
1642478855.768723,86,137.9442901611328
1642478862.822962,87,137.16793823242188
1642478869.766023,88,121.42230987548828
1642478876.832779,89,143.3012237548828
1642478883.883919,90,201.84939575195312
1642478890.804144,91,200.0738067626953
1642478897.644151,92,131.4971923828125
1642478904.364454,93,142.46212768554688
1642478911.17594,94,140.8458251953125
1642478918.024866,95,212.99525451660156
1642478925.013965,96,184.0312957763672
1642478931.605798,97,151.66732788085938
1642478938.227419,98,179.83409118652344
1642478945.099882,99,250.32542419433594
1642478951.973988,100,124.40696716308594
1642478958.875656,101,212.67404174804688
1642478965.714181,102,225.80133056640625
1642478972.40202,103,249.32559204101562
1642478979.277087,104,225.56954956054688
1642478986.154875,105,269.6025695800781
1642478992.956852,106,217.95068359375
1642478999.764236,107,203.4102325439453
1642479006.602837,108,242.19393920898438
1642479013.385138,109,262.0627746582031
1642479020.185891,110,261.2122802734375
1642479027.075608,111,223.9388427734375
1642479033.871869,112,254.41909790039062
1642479040.543695,113,260.7387390136719
1642479047.12364,114,256.6939392089844
1642479054.071432,115,227.23936462402344
1642479061.012574,116,227.07862854003906
1642479068.103584,117,222.82798767089844
1642479074.818336,118,276.98236083984375
1642479081.712481,119,266.9401550292969
1642479088.541719,120,180.50714111328125
1642479095.418841,121,280.3553771972656
1642479102.315174,122,235.8493194580078
1642479109.034037,123,246.73951721191406
1642479115.805271,124,247.28982543945312
1642479122.639326,125,230.2775421142578
1642479129.440724,126,184.56192016601562
1642479136.024431,127,198.45394897460938
1642479142.604655,128,238.97967529296875
1642479149.187879,129,268.1670227050781
1642479155.851399,130,230.86219787597656
1642479162.421915,131,265.1363220214844
1642479168.972402,132,289.0591125488281
1642479175.544751,133,169.2132568359375
1642479182.1488,134,254.59152221679688
1642479188.863175,135,278.9521484375
1642479195.710014,136,336.73699951171875
1642479202.90807,137,229.2236785888672
1642479209.776236,138,210.14862060546875
1642479217.071102,139,231.23338317871094
1642479224.184536,140,237.7017059326172
1642479231.175684,141,228.9708709716797
1642479238.197163,142,226.64320373535156
1642479244.934842,143,234.93655395507812
1642479251.674862,144,196.4053192138672
1642479258.350474,145,253.369140625
1642479265.054361,146,285.7060546875
1642479271.874242,147,191.89593505859375
1642479278.604,148,305.29901123046875
1642479285.224736,149,194.8472442626953
1642479291.887646,150,221.6455535888672
1642479298.552166,151,173.6984100341797
1642479305.650159,152,199.76119995117188
